time,taxonomy,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,dropout_length
1645470370,normal,a0f7db,41.26506740764036,-79.38939181241125,47.68815410734251,222.8141991932244,-0.97536,N16105  ,False,False,False,,792.48,792.48,1645470369.486,1645470369.824,1.0099999904632568
1645470371,normal,a0f7db,41.26478809421345,-79.38976634632456,47.68815410734251,222.8141991932244,-2.27584,N16105  ,False,False,False,,792.48,784.86,1645470370.517,1645470370.869,1.0450000762939453
1645470372,normal,a0f7db,41.26446533203125,-79.39013671875,47.68815410734251,222.8141991932244,-2.27584,N16105  ,False,False,False,,792.48,784.86,1645470371.461,1645470371.461,0.5920000076293945
1645470373,normal,a0f7db,41.264007568359375,-79.3907470703125,47.68815410734251,222.8141991932244,-1.6256000000000002,N16105  ,False,False,False,,792.48,784.86,1645470372.951,1645470372.951,1.4900000095367432
1645470374,normal,a0f7db,41.263670840505824,-79.39113963734019,48.039264420533335,223.2642954110716,-1.95072,N16105  ,False,False,False,,792.48,784.86,1645470373.97,1645470373.97,1.0190000534057617
1645470375,normal,a0f7db,41.263391527078916,-79.39151417125356,48.039264420533335,223.2642954110716,-2.27584,N16105  ,False,False,False,,792.48,784.86,1645470374.882,1645470374.882,0.9119999408721924
1645470376,normal,a0f7db,41.263065661414196,-79.39188870516693,48.39329618061229,223.70783311375007,-2.60096,N16105  ,False,False,False,,792.48,784.86,1645470375.905,1645470375.905,1.0230000019073486
1645470377,normal,a0f7db,41.26277160644531,-79.392333984375,48.382357370305144,224.56921278299134,-1.95072,N16105  ,False,False,False,,792.48,777.24,1645470376.93,1645470376.93,1.0250000953674316
1645470378,normal,a0f7db,41.2625535867982,-79.39257535067475,48.382357370305144,224.56921278299134,-2.27584,N16105  ,False,False,False,,792.48,777.24,1645470377.515,1645470377.86,0.929999828338623
1645470379,normal,a0f7db,41.26227427337129,-79.39294988458806,48.382357370305144,225.43078721700863,-2.60096,N16105  ,False,False,False,,762.0,807.72,1645470378.426,1645470378.426,0.56600022315979
1645470380,normal,a0f7db,41.26227427337129,-79.39294988458806,48.382357370305144,224.56921278299134,-1.95072,N16105  ,False,False,False,,762.0,769.62,1645470378.426,1645470379.45,1.0239999294281006
1645470381,normal,a0f7db,41.2615294375662,-79.39394864169037,48.744756686058125,225.0,-2.27584,N16105  ,False,False,False,,762.0,769.62,1645470380.834,1645470380.834,1.3840000629425049
1645470382,normal,a0f7db,41.26121520996094,-79.394287109375,49.10987079311417,225.42440541936148,-2.60096,N16105  ,False,False,False,,762.0,769.62,1645470381.841,1645470381.841,1.0069999694824219
1645470383,normal,a0f7db,41.260924258474574,-79.39469770951706,49.10987079311417,225.42440541936148,-1.95072,N16105  ,False,False,False,,762.0,762.0,1645470382.782,1645470382.782,0.9409999847412109
1645470384,normal,a0f7db,41.2606201171875,-79.3951416015625,49.47763959111227,225.84252426074042,-1.6256000000000002,N16105  ,False,False,False,,762.0,762.0,1645470383.798,1645470383.798,1.0160000324249268
1645470385,normal,a0f7db,41.260272527145126,-79.39563404430044,49.47763959111227,225.84252426074042,-2.27584,N16105  ,False,False,False,,762.0,762.0,1645470384.932,1645470384.932,1.1339998245239258
1645470386,normal,a0f7db,41.259979248046875,-79.39605712890625,49.49368379180132,226.68468431789628,-2.27584,N16105  ,False,False,False,,762.0,762.0,1645470385.856,1645470385.856,0.9240000247955322
1645470387,normal,a0f7db,41.259979248046875,-79.39605712890625,49.86923656916147,227.0901591537107,-1.6256000000000002,N16105  ,False,False,False,,762.0,754.38,1645470385.856,1645470386.906,1.0499999523162842
1645470388,normal,a0f7db,41.25934148238877,-79.39694491299718,49.52041257475725,227.52611691161954,-1.95072,N16105  ,False,False,False,,762.0,754.38,1645470387.931,1645470387.931,1.0250000953674316
1645470389,normal,a0f7db,41.25934148238877,-79.39694491299718,49.86923656916147,227.0901591537107,-1.6256000000000002,N16105  ,False,False,False,,762.0,754.38,1645470387.931,1645470388.871,0.940000057220459
1645470390,normal,a0f7db,41.25887596001059,-79.397631558505,49.84800432271992,226.25445162268153,-0.97536,N16105  ,False,False,False,,762.0,746.76,1645470389.557,1645470389.908,1.0369999408721924
1645470391,normal,a0f7db,41.258550094345864,-79.39806851473725,50.19982404982105,225.0,-0.97536,N16105  ,False,False,False,,762.0,746.76,1645470390.485,1645470390.835,0.9270000457763672
1645470392,normal,a0f7db,41.258084571967686,-79.39869273792613,50.205095756220445,224.169684513742,-1.30048,N16105  ,False,False,False,,762.0,746.76,1645470391.969,1645470391.969,1.1340000629425049
1645470393,normal,a0f7db,41.258084571967686,-79.39869273792613,50.205095756220445,224.169684513742,-1.6256000000000002,N16105  ,False,False,False,,762.0,746.76,1645470391.969,1645470392.901,0.931999921798706
1645470394,normal,a0f7db,41.25743284063824,-79.39950422807175,50.205095756220445,224.169684513742,-1.6256000000000002,N16105  ,False,False,False,,731.52,746.76,1645470393.923,1645470393.923,1.0220000743865967
1645470395,normal,a0f7db,41.25714111328125,-79.39990234375,50.22090755518144,223.3397176310172,-1.30048,N16105  ,False,False,False,,731.52,739.14,1645470394.954,1645470394.954,1.0309998989105225
1645470396,normal,a0f7db,41.256866455078125,-79.40020751953125,49.86923656916147,222.90984084628934,-0.97536,N16105  ,False,False,False,,762.0,708.66,1645470395.864,1645470395.864,0.9100000858306885
1645470397,normal,a0f7db,41.25668800483316,-79.40044056285512,49.52041257475725,222.47388308838043,-3.2512000000000003,N16105  ,False,False,False,,731.52,739.14,1645470396.323,1645470396.658,0.7939999103546143
1645470398,normal,a0f7db,41.25668800483316,-79.40044056285512,49.52041257475725,222.47388308838043,-3.2512000000000003,N16105  ,False,False,False,,731.52,739.14,1645470396.323,1645470396.658,0.0
1645470399,normal,a0f7db,41.25668800483316,-79.40044056285512,49.14219409902248,222.87890360333856,-2.9260800000000002,N16105  ,False,False,False,,731.52,731.52,1645470396.323,1645470398.479,1.821000099182129
1645470400,normal,a0f7db,41.25668800483316,-79.40044056285512,49.14219409902248,222.87890360333856,-2.60096,N16105  ,False,False,False,,731.52,731.52,1645470396.323,1645470399.045,0.5659999847412109
1645470401,normal,a0f7db,41.25526428222656,-79.402099609375,49.14219409902248,222.87890360333856,-2.60096,N16105  ,False,False,False,,731.52,731.52,1645470400.54,1645470400.54,1.494999885559082
1645470402,normal,a0f7db,41.254965572033896,-79.40256292169744,48.39329618061229,223.70783311375007,-3.2512000000000003,N16105  ,False,False,False,,731.52,723.9,1645470401.556,1645470401.556,1.0160000324249268
1645470403,normal,a0f7db,41.254779363082626,-79.40275018865412,48.039264420533335,223.2642954110716,-3.2512000000000003,N16105  ,False,False,False,,731.52,716.28,1645470402.11,1645470402.565,1.0090000629425049
1645470404,normal,a0f7db,41.254779363082626,-79.40275018865412,47.6659503328378,223.6881122174959,-3.90144,N16105  ,False,False,False,,731.52,716.28,1645470402.11,1645470403.143,0.5779998302459717
1645470405,normal,a0f7db,41.2540283203125,-79.40374755859375,47.295285404123234,224.11859600341785,-3.5763200000000004,N16105  ,False,False,False,,701.0400000000001,746.76,1645470404.626,1645470404.626,1.4830000400543213
1645470406,normal,a0f7db,41.25370866161282,-79.40418590198863,47.289689322295196,225.0,-4.22656,N16105  ,False,False,False,,701.0400000000001,708.6600000000001,1645470405.651,1645470405.651,1.0250000953674316
1645470407,normal,a0f7db,41.25343322753906,-79.40447998046875,47.289689322295196,225.0,-4.22656,N16105  ,False,False,False,,701.0400000000001,701.0400000000001,1645470406.556,1645470406.668,1.0169999599456787
1645470408,normal,a0f7db,41.2532958984375,-79.4046630859375,46.92733240916914,225.44414443311192,-3.90144,N16105  ,False,False,False,,701.0400000000001,701.0400000000001,1645470407.031,1645470407.63,0.9620001316070557
1645470409,normal,a0f7db,41.25296382580773,-79.405122236772,46.92733240916914,225.44414443311192,-3.5763200000000004,N16105  ,False,False,False,,701.0400000000001,693.4200000000001,1645470408.089,1645470408.089,0.4589998722076416
1645470410,normal,a0f7db,41.25296382580773,-79.405122236772,46.19982093019236,225.45113854678726,-3.2512000000000003,N16105  ,False,False,False,,701.0400000000001,693.4200000000001,1645470408.089,1645470409.44,1.3510000705718994
1645470411,normal,a0f7db,41.25224304199219,-79.40606689453125,45.83462195853226,225.0,-3.90144,N16105  ,False,False,False,,701.0400000000001,685.8000000000001,1645470410.568,1645470410.916,1.4759998321533203
