time,epoch_time,taxonomy,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
930,1645469782,normal,a0f7db,41.30789546643273,-79.10393454811788,40.45505974012428,262.69424046668917,0.97536,N16105  ,False,False,False,,1127.76,1120.14,1645469780.464,1645469781.857
931,1645469783,normal,a0f7db,41.307769775390625,-79.1051025390625,40.45505974012428,262.69424046668917,0.65024,N16105  ,False,False,False,,1127.76,1127.76,1645469782.939,1645469782.939
932,1645469784,normal,a0f7db,41.307755809719275,-79.10555752840912,40.3928639566872,263.418055344822,1.30048,N16105  ,False,False,False,,1127.76,1127.76,1645469783.962,1645469783.962
933,1645469785,normal,a0f7db,41.30770925748146,-79.10599448464131,40.3928639566872,263.418055344822,0.97536,N16105  ,False,False,False,,1127.76,1127.76,1645469784.873,1645469784.873
934,1645469786,normal,a0f7db,41.30767822265625,-79.1064453125,40.3928639566872,263.418055344822,0.97536,N16105  ,False,False,False,,1127.76,1127.76,1645469785.78,1645469785.78
935,1645469787,normal,a0f7db,41.30763244628906,-79.10699462890625,40.33713380903666,264.14398641457103,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469786.94,1645469786.94
936,1645469788,normal,a0f7db,41.30763244628906,-79.10699462890625,40.33713380903666,264.14398641457103,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469786.94,1645469787.164
937,1645469789,normal,a0f7db,41.307586669921875,-79.1077880859375,40.33713380903666,264.14398641457103,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469788.529,1645469788.529
938,1645469790,normal,a0f7db,41.307523048530186,-79.10842895507812,39.77553792188118,264.80557109226515,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469789.992,1645469789.992
939,1645469791,normal,a0f7db,41.307523048530186,-79.10842895507812,39.77553792188118,264.80557109226515,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469789.992,1645469789.992
940,1645469792,normal,a0f7db,41.307523048530186,-79.10842895507812,39.77553792188118,264.80557109226515,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469789.992,1645469791.014
941,1645469793,normal,a0f7db,41.307523048530186,-79.10842895507812,39.77553792188118,264.80557109226515,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469789.992,1645469791.014
942,1645469794,normal,a0f7db,41.307523048530186,-79.10842895507812,39.77553792188118,264.80557109226515,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469789.992,1645469793.286
943,1645469795,normal,a0f7db,41.30735778808594,-79.110595703125,39.77553792188118,264.80557109226515,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469794.656,1645469794.656
944,1645469796,normal,a0f7db,41.307336839578916,-79.1111131147905,39.82540905517542,264.0684730750802,-0.65024,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469795.564,1645469795.564
945,1645469797,normal,a0f7db,41.30731201171875,-79.111572265625,39.82540905517542,264.0684730750802,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469796.588,1645469796.907
946,1645469798,normal,a0f7db,41.3072902873411,-79.11204944957387,39.82540905517542,264.0684730750802,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469797.593,1645469797.818
947,1645469799,normal,a0f7db,41.3072902873411,-79.11204944957387,39.77553792188118,264.80557109226515,0.32512,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469797.593,1645469798.957
948,1645469800,normal,a0f7db,41.307197182865465,-79.11304820667613,39.77553792188118,264.80557109226515,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469799.64,1645469799.64
949,1645469801,normal,a0f7db,41.307197182865465,-79.11304820667613,39.77553792188118,264.80557109226515,-0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469799.64,1645469800.094
950,1645469802,normal,a0f7db,41.30717468261719,-79.11370849609375,39.26323426205742,264.7376046004049,-0.65024,N16105  ,False,False,False,,1127.76,1127.76,1645469801.108,1645469801.687
951,1645469803,normal,a0f7db,41.30717468261719,-79.11370849609375,39.43474164747547,262.5041423602701,-0.65024,N16105  ,False,False,False,,1127.76,1127.76,1645469801.108,1645469802.59
952,1645469804,normal,a0f7db,41.30705752615201,-79.11492087624288,38.99607681569334,261.6561084159669,-0.65024,N16105  ,False,False,False,,1127.76,1127.76,1645469803.629,1645469803.629
953,1645469805,normal,a0f7db,41.30705752615201,-79.11510814319956,39.15861761112085,260.16643603579286,-0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469804.108,1645469804.56
954,1645469806,normal,a0f7db,41.30691786943856,-79.11585721102631,39.15861761112085,260.16643603579286,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469805.687,1645469805.687
955,1645469807,normal,a0f7db,41.30691786943856,-79.11585721102631,39.15861761112085,260.16643603579286,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469805.687,1645469805.687
956,1645469808,normal,a0f7db,41.306778212725106,-79.11673112349075,38.74415713961774,259.286876977209,0.97536,N16105  ,False,False,False,,1127.76,1127.76,1645469807.625,1645469807.625
957,1645469809,normal,a0f7db,41.306778212725106,-79.11673112349075,38.238799353227606,259.14358665193777,1.30048,N16105  ,False,False,False,,1127.76,1127.76,1645469807.625,1645469808.643
958,1645469810,normal,a0f7db,41.30668510824947,-79.11741776899856,38.238799353227606,259.14358665193777,1.30048,N16105  ,False,False,False,,1127.76,1127.76,1645469809.213,1645469809.213
959,1645469811,normal,a0f7db,41.30668510824947,-79.11741776899856,37.83524905424337,258.23171106797935,-0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469809.213,1645469810.118
